cadaster;address;max_current;latitude;longitude;hour;ev_charge;baseload;is_train;predicted_ev_load;combined_load;predicted_combined_load;total_chargers;p_throttle;throttle
79511:003:0022;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;200;58.35560415000001;26.7306968603538;0;0.0;98.99761173631506;True;;98.99761173631506;;1.0;;0.0
79511:003:0022;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;200;58.35560415000001;26.7306968603538;1;0.0;104.89420721277081;True;;104.89420721277081;;1.0;;0.0
79511:003:0022;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;200;58.35560415000001;26.7306968603538;2;0.0;85.21866127904856;True;;85.21866127904856;;1.0;;0.0
79511:003:0022;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;200;58.35560415000001;26.7306968603538;3;0.0;98.94163795918509;True;;98.94163795918509;;1.0;;0.0
79511:003:0022;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;200;58.35560415000001;26.7306968603538;4;0.0;79.88926703401472;True;;79.88926703401472;;1.0;;0.0
79511:003:0022;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;200;58.35560415000001;26.7306968603538;5;0.0;64.51494339093759;True;;64.51494339093759;;1.0;;0.0
79511:003:0022;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;200;58.35560415000001;26.7306968603538;6;0.0;127.97507983756752;True;;127.97507983756752;;1.0;;0.0
79511:003:0022;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;200;58.35560415000001;26.7306968603538;7;0.0;117.77500422247576;True;;117.77500422247576;;1.0;;0.0
79511:003:0022;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;200;58.35560415000001;26.7306968603538;8;0.0;120.7563886234938;True;;120.7563886234938;;1.0;;0.0
79511:003:0022;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;200;58.35560415000001;26.7306968603538;9;16.5;111.92501211996063;True;;128.42501211996063;;1.0;;0.0
