id;cadaster;baseloads;power_limit;ev_loads;hour;address;latitude;longitude;x;y
0;79511:003:0022;98.99761173631506;200.0;0.0;0;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;58.35560415000001;26.7306968603538;6471601.920000003;659795.2100000009
1;79511:003:0022;104.89420721277081;200.0;0.0;1;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;58.35560415000001;26.7306968603538;6471601.920000003;659795.2100000009
2;79511:003:0022;85.21866127904856;200.0;0.0;2;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;58.35560415000001;26.7306968603538;6471601.920000003;659795.2100000009
3;79511:003:0022;98.94163795918509;200.0;0.0;3;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;58.35560415000001;26.7306968603538;6471601.920000003;659795.2100000009
4;79511:003:0022;79.88926703401472;200.0;0.0;4;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;58.35560415000001;26.7306968603538;6471601.920000003;659795.2100000009
5;79511:003:0022;64.51494339093759;200.0;0.0;5;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;58.35560415000001;26.7306968603538;6471601.920000003;659795.2100000009
6;79511:003:0022;127.97507983756752;200.0;0.0;6;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;58.35560415000001;26.7306968603538;6471601.920000003;659795.2100000009
7;79511:003:0022;117.77500422247576;200.0;0.0;7;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;58.35560415000001;26.7306968603538;6471601.920000003;659795.2100000009
8;79511:003:0022;120.75638862349379;200.0;0.0;8;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;58.35560415000001;26.7306968603538;6471601.920000003;659795.2100000009
9;79511:003:0022;111.92501211996063;200.0;16.5;9;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;58.35560415000001;26.7306968603538;6471601.920000003;659795.2100000009
10;79511:003:0022;116.77038977997492;200.0;0.0;10;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;58.35560415000001;26.7306968603538;6471601.920000003;659795.2100000009
11;79511:003:0022;98.52442391245614;200.0;0.0;11;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;58.35560415000001;26.7306968603538;6471601.920000003;659795.2100000009
12;79511:003:0022;100.98385451387965;200.0;0.0;12;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;58.35560415000001;26.7306968603538;6471601.920000003;659795.2100000009
13;79511:003:0022;116.21723404361872;200.0;0.0;13;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;58.35560415000001;26.7306968603538;6471601.920000003;659795.2100000009
14;79511:003:0022;114.83792674514481;200.0;0.0;14;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;58.35560415000001;26.7306968603538;6471601.920000003;659795.2100000009
15;79511:003:0022;135.77633488042784;200.0;0.0;15;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;58.35560415000001;26.7306968603538;6471601.920000003;659795.2100000009
16;79511:003:0022;122.85898732645748;200.0;16.5;16;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;58.35560415000001;26.7306968603538;6471601.920000003;659795.2100000009
17;79511:003:0022;118.59717512221295;200.0;16.5;17;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;58.35560415000001;26.7306968603538;6471601.920000003;659795.2100000009
18;79511:003:0022;103.09526480162121;200.0;0.0;18;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;58.35560415000001;26.7306968603538;6471601.920000003;659795.2100000009
19;79511:003:0022;129.3222069411909;200.0;0.0;19;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;58.35560415000001;26.7306968603538;6471601.920000003;659795.2100000009
20;79511:003:0022;90.30604086239373;200.0;0.0;20;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;58.35560415000001;26.7306968603538;6471601.920000003;659795.2100000009
21;79511:003:0022;82.19386927834215;200.0;0.0;21;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;58.35560415000001;26.7306968603538;6471601.920000003;659795.2100000009
22;79511:003:0022;107.58671350787131;200.0;0.0;22;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;58.35560415000001;26.7306968603538;6471601.920000003;659795.2100000009
23;79511:003:0022;102.11799286395085;200.0;0.0;23;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;58.35560415000001;26.7306968603538;6471601.920000003;659795.2100000009
24;79512:038:0009;67.63447797339842;160.0;0.0;0;66, Peetri, Raadi-Kruusamäe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51009, Eesti;58.39040249999999;26.730959499999994;6475470.489999997;659684.4799999967
25;79512:038:0009;132.21723522478985;160.0;0.0;1;66, Peetri, Raadi-Kruusamäe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51009, Eesti;58.39040249999999;26.730959499999994;6475470.489999997;659684.4799999967
26;79512:038:0009;80.3320665213644;160.0;0.0;2;66, Peetri, Raadi-Kruusamäe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51009, Eesti;58.39040249999999;26.730959499999994;6475470.489999997;659684.4799999967
27;79512:038:0009;60.96883084871077;160.0;0.0;3;66, Peetri, Raadi-Kruusamäe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51009, Eesti;58.39040249999999;26.730959499999994;6475470.489999997;659684.4799999967
28;79512:038:0009;86.25977835676859;160.0;0.0;4;66, Peetri, Raadi-Kruusamäe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51009, Eesti;58.39040249999999;26.730959499999994;6475470.489999997;659684.4799999967
29;79512:038:0009;90.24248286272484;160.0;0.0;5;66, Peetri, Raadi-Kruusamäe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51009, Eesti;58.39040249999999;26.730959499999994;6475470.489999997;659684.4799999967
30;79512:038:0009;123.75342457570059;160.0;0.0;6;66, Peetri, Raadi-Kruusamäe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51009, Eesti;58.39040249999999;26.730959499999994;6475470.489999997;659684.4799999967
31;79512:038:0009;113.29268755944638;160.0;0.0;7;66, Peetri, Raadi-Kruusamäe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51009, Eesti;58.39040249999999;26.730959499999994;6475470.489999997;659684.4799999967
32;79512:038:0009;133.59148057406688;160.0;0.0;8;66, Peetri, Raadi-Kruusamäe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51009, Eesti;58.39040249999999;26.730959499999994;6475470.489999997;659684.4799999967
33;79512:038:0009;111.47165133162471;160.0;0.0;9;66, Peetri, Raadi-Kruusamäe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51009, Eesti;58.39040249999999;26.730959499999994;6475470.489999997;659684.4799999967
